Timestamp,Designation,PKD / Organisation,State,Years of service as PPKA,Date,QUESTION 1: CURRENT FUNCTIONS AND DISTRICT CONTEXT,QUESTION 2: STRENGTHS,QUESTION 3: WEAKNESSES,QUESTION 4: OPPORTUNITIES,QUESTION 5: THREATS AND EMERGING CHALLENGES,Additional Comments (Optional)
24/07/2026 14:23:41,Pegawai Kesihatan Daerah,PKD Papar,Sabah,3,24/07/2026,"PKD Papar carries out disease surveillance and outbreak control, communicable disease prevention, vector control, environmental health, food safety, maternal and child health, school health, immunisation, NCD prevention, health promotion and emergency response. These services are delivered through the PKD and its network of Klinik Kesihatan, Klinik Desa, KKIA and Klinik Komuniti, in collaboration with hospitals, schools, local authorities and other agencies.
Papar has a mixed urban, semi-urban and rural population, including coastal and inland communities. The main factors affecting PKD work are the wide geographical coverage, distance between communities, seasonal flooding, growing population and different levels of access to health services. The district faces both communicable diseases, such as TB, dengue, HFMD and food poisoning, and non-communicable diseases, such as diabetes and hypertension. High-risk settings BWN housing area, Depot Imigresen, PUSPEN, Rumah Warga Tua Kinarut, Rumah Kanak-kanak Kinarut, flood prone area and food premises. Limited staff, increasing workload and the need to manage routine services while responding to outbreaks further increase the complexity of PKD work.","The main strength of PKD Papar is the strong teamwork and cooperation among staff. Effective leadership provides clear direction from management to operational teams, allowing instructions and information to be communicated quickly. Staff from different units are also willing to support one another when additional manpower is needed.
PKD Papar has competent and experienced personnel with good technical skills and knowledge of the local communities. Surveillance data, notifications and field information are regularly reviewed to identify risks and guide action. For example, during outbreaks of food poisoning, HFMD or other communicable diseases, teams can be mobilised quickly to conduct investigations, control activities, health education and follow-up.
Resources such as staff, vehicles, equipment and supplies are managed according to current priorities. This allows PKD Papar to respond quickly and efficiently to disease outbreaks, floods, fires and other emergencies while continuing routine services.
Another important strength is the good collaboration with district agencies, including Hospital Papar, the District Office, local authorities, the Education Department, police, Fire and Rescue Department, Welfare Department and community leaders. The cooperation and trust from local communities also support contact tracing, outbreak investigations, health campaigns and community programmes. These combined strengths enable PKD Papar to deliver its public health functions effectively despite limited resources and a high workload.","PKD Papar continues to deliver its public health functions through good leadership, strong teamwork and support from other agencies and the community. However, service delivery is affected by major resource limitations.
The main challenge is a shortage of staff, especially in management, medical officers, medical assistants, nurses, pharmacy, laboratory and other support services. Many staff must handle several programmes at the same time, affecting routine services, outreach activities and outbreak response. Financial allocations, vehicles, equipment and other assets are also limited.
Some clinics are small and overcrowded, with insufficient space to meet increasing patient needs. The lack of X-ray services at clinics means patients must be referred elsewhere, causing delays and additional travel. PKD Papar also lacks expertise in digital health and data management, while some work still depends on manual or separate systems.
Additional staff, funding, assets, better facilities, diagnostic services and digital expertise are needed for PKD Papar to fulfil its public health mandate more effectively.","The implementation of CCMS in clinics is an important opportunity for PKD Papar. It can improve patient records, data quality, continuity of care and service efficiency.
The rapid development of Papar also creates opportunities to expand and upgrade health facilities, digital infrastructure and public health services to meet the needs of a growing population.
Health system reforms may provide clearer responsibilities and better allocation of staff, funding and assets. Staff training in digital health, data analysis, leadership and outbreak management can strengthen workforce competency.
Closer collaboration with Hospital Papar, UMS, district agencies, schools, NGOs, the private sector and community leaders can also support health programmes, research and emergency response.","Future challenges for PKD Papar include rapid population growth, urbanisation and the increasing non-citizen population, which may raise demand for health services. Population mobility, communication barriers and difficulties with documentation may also affect immunisation, disease surveillance, contact tracing and treatment follow-up.
Changing disease patterns and outbreaks, such as dengue, HFMD, tuberculosis, food poisoning and emerging infections, may further increase workload. Climate change, floods and extreme weather may also increase the risk of disasters and infectious diseases.
Other threats include the increasing burden of non-communicable diseases, health misinformation, and rising community expectations. Limited staff, funding, assets and clinic capacity may reduce PKD Papar’s ability to manage these challenges effectively.",No Tq
24/07/2026 20:01:07,PPKA,PKD Kuantan,PAHANG,5 tahun,24/07/2026,"PKD Kuantan currently doing population profile, the need and demand of the health services including human resources, assets and also do assessment if there are need for upgrade or built new facility ",the main strength are teamwork spirit among the workforce. they always stay together for good community health. besides that the community give their trust and full collaboration for health event ,the weakness is not enough staff and too many event in one time. its difficult to handle many work with limited staff,"One of the most powerful opportunities to strengthen the future role and performance of District Health Offices (PKD) lies in the adoption of advanced digital technologies, particularly Artificial Intelligence (AI). AI can transform PKD operations by enhancing efficiency, accuracy, and responsiveness in several key areas:

Data-Driven Decision Making: AI-powered analytics can integrate surveillance, patient records, and service utilization data into real-time dashboards. This allows PKD to detect disease trends earlier, allocate resources more effectively, and design targeted interventions.

Operational Efficiency: AI can automate routine administrative tasks such as scheduling, reporting, and workload analysis. This reduces staff burden and frees up human resources for direct service delivery.

Predictive Health Intelligence: Machine learning models can forecast outbreaks, anticipate service demand, and identify high-risk populations. PKD can then act proactively rather than reactively.

Community Engagement: AI-enabled chatbots and digital platforms can provide health education, appointment reminders, and feedback channels, strengthening PKD’s relationship with the community.

Workforce Development: AI-driven training tools and simulations can upskill staff in epidemiology, digital literacy, and health financing, ensuring a more competent and future-ready workforce.

Service Innovation: Telehealth platforms enhanced by AI can extend PKD’s reach to underserved populations, while AI-assisted diagnostics can improve the quality of care at the primary level.

By strategically embedding AI into its operations, PKD can evolve from being primarily a program implementer into a smart health system leader at the district level—capable of delivering more responsive, equitable, and sustainable public health services.","An important external challenge that may affect the ability of District Health Offices (PKD) to protect and improve population health is the lack of clarity and contextual relevance in policies and directives issued by the Ministry of Health headquarters (KKM HQ).

When policies are communicated in a vague manner or designed without considering the unique realities at the district level, they often become difficult to interpret, misaligned with local needs, and impractical to implement. This results in operational confusion, delays in execution, and reduced effectiveness of health programs.

For example, a directive intended for urban districts may not be suitable for rural or resource-constrained areas, yet PKD is still expected to comply. Such mismatches weaken the ability of PKD to respond flexibly to local health challenges and undermine community trust in public health services.

To address this, future reforms should emphasize clearer guidance, participatory policy design, and adaptive frameworks that allow PKD to tailor implementation strategies to their specific district context while still aligning with national priorities.",
25/07/2026 00:03:04,DHO,PKB Sibu,sarawak,14,24/07/2026,"Main public health functions in my district
-	Disease control – CDC/NCD
-	Enforcement of public health laws
-	Provision of primary care services via clinics
-	Technical advisory for license approval – pre-school, junk yards, munitions
-	Health advocacy, promotion and risk communication
-	Nutrition advisory
-	Environmental health advisory
-	Internal organization Occupation Health and Safety
-	Food quality and safety
-	Community mobilization and advocacy
-	Training of undergraduate, pre-specialization (mentoring), registrar training, gazettement of PHMS
-	Research and collaboration with universities, hospitals and research centres.
-	Health management
-	International and port health
District unique context – 
1.	Geographic – main town along Rejang river – zoonotic diseases. Many parts with peat soil – water everywhere, 
2.	Logistics
3.	Lack of resources

Features of district 
Dual burden CDC/NCD
Ageing
Political
IHR
",". Main strength
1.	Experienced staff – many senior staff
2.	Strong experienced leadership – current DHO among most experienced 17 years as DHO
3.	Good team work
4.	Supportive political leadership – local YBs supportive
5.	Supportive local business – donations
6.	Good relationship with community leaders
","Q3. Weaknesses
1.	Staff shortage
2.	Ageing equipment
3.	Lack of enough transports
financial/budgetary
4.	Huge land mass and distance
5.	Increasing number of programmes and returns that are repetitive
","Q4. Opportunities
1.	Digitalisation of clinics – save time on data entry 
2.	Increasing number of PHMS
","Q5. Threats
1.	Staffing
2.	Allocation
3.	Too many programmes
4.	New Zoonotic diseases
","Discordance or increasing gap between programme leaders at Central level and implementers...programe planners do not know reality of situation on the ground...eg shortage of staff, equipment etc yet increasing burden of new programme or new system for data entry. Mentality of programme leaders at Central level is to create new programme to boost their CV/Ego and instruct ground people to implement...without  additional resources. "
25/07/2026 21:39:56,District Health Officer,PKD Kuala Nerus,Terengganu,5 years,01/10/2020,"PKD Kuala Nerus provides all the basic Public Health functions, from Disease Prevention and Control (Unit Inspektorat) to Primary Care in which programs covers the Womb to Tomb entities, through 4 health clinics and 10 rural clinics and Pre-Hospital Care Services.  A special added services is through Klinik Kesihatan Pulau Redang, providing primary care services to the community of Pulau Redang. The geography of Kuala Nerus encompasses both land, coastal and island jurisdiction, with rural and semi-urban areas. Portions of the district experiences recurring monsoon floods and stagnant flooding. There is rapid population growth as the district has become and educational, sports and transit hub, with 2 major universities (UMT & UniSZA) and Sultan Mahmud Airport, and State Sports Stadium. Thus the scope of disease surveillance and emergency preparedness surrounds high-transit population and areas.","PKDKN is now 10 years into it's establishment. There are 3 public health medicine specialists (PKD/PKE/PKK) leading at the district level and 7 Family Medicine Specialists (~2 per clinic) leading primary healthcare service delivery at health clinics, and also contributing to public health programs. There has been a steady increase of leadership post for most staff categories (ie: Grade 6 & above), but still needs more addition for supporting positions. PKDKN is well known among community leaders and an important agency within the District Office and State Government. Most implementation of Public Health programs are able to transcend via collaboration between governmental and non-governmental agencies, including the 2 main universities. ","Infrastructural Deficits and Physical Degradation. PKDKN headquarters operates from a converted ILKKM facilities, key administrative and public health units operated in dispersed and makeshift spaces. Eg: The District Pharmacy Logistics Unit currently operates out of a converted domestic kitchen measuring just 42.37 m². This space is grossly inadequate for managing vaccine cold-chain systems, medical consumables, and pharmaceutical distribution for 5 Health Clinics and 6 Rural Clinics, creating continuous storage and inventory flow bottlenecks.  The building of 3 major health clinics (with more than 600 patients attendance daily) are more than 50 years old with structural degradation and inadequate space for operation. ","Digital Health Transformation & Cloud-Based Management Systems - slowly being adapted at 2 out of 4 health clinics and at the administrative and disease surveillance unit (optimising Google Workspace provided my MOH), Multisectoral Strategic Alliances with Educational Institutions (UMT & UniSZA)- joint Public Health programs, research, shared resources (Hospital UniSZA integrated into the MECC sistem for Pre-Hospital care services), student volunteers and outreach networks - helping with health promotion and wellness programs), Adaption of Health City Concept but Local Authorities (Majlis Bandaraya Kuala Terengganu)- designs that facilitates health lifestyle in the community- green space, improve sport facilities, safe pavements, Terengganu Bebas Rokok Inititif), Potential areas to add new health facilities at Bandar Baru Kuala Nerus. Eco-tourism at Pulau Redang - establishing specialised travel health and island healthcare. Community Health Champions (Agenda Nasional Malaysia Sihat - ANMS): Expanding training for Jawatankuasa Pembangunan dan Keselamatan Kampung (JPKK) and community volunteers to act as local health ambassadors - via Wellness Hub at focal point.","1. Climate Change, Rising Sea Levels, and Severe Monsoon Disasters - yearly flooding episodes, constant coastal erosions increases public health threats and further damages vulnerable facilities. 2. Rapid Urbanization, Commercial developments and Demographic Shifts - Unplanned urban density creates risk for vector borne diseases, A shifting demographic profile—combining a large young student population with an aging local population—demands simultaneous management of lifestyle-related Non-Communicable Diseases (Diabetes, Hypertension) alongside youth and adolescent health needs (Social behaviour related communicable diseases - HIV, STDs). 3. Population Mobility, Student Migration, and Tourism Exposure - High daily inflows of domestic and international travelers increase the risk of imported respiratory pathogens, novel infectious diseases, or vector-borne strains entering the community. Floating populations (over 20,000 university students and seasonal island tourists) utilize primary care services and emergency response resources without being fully reflected in static census-based budgetary allocations. 4. Fiscal Constraints and Escalating Maintenance Costs - Without a purpose-built complex, PKD Kuala Nerus must continually divert operating funds toward reactive repairs on 40-year-old buildings (e.g., fixing concrete slab leaks, structural corrosion, and flood damage—which cost over RM1,000,000 between 2020 and 2024). This drains financial resources away from proactive preventive health campaigns and medical technology upgrades.","Human resources, facilities, assets and information technology capacities does not match the constant increase of public health programs and responsibilities, which has become more decentralised. Health in Policies is still not being well received and not fully embraced by other agencies, as much as they support and cooperate with us, the major burden of responsibilities is still being directed towards PKDs. "
27/07/2026 07:36:32,Public Health Medicine Specialist/ Districts Health Officer,PKD Kota Setar ,Kedah,16,27/07/2026,"Situational analysis on current disease burden in the district and implement strategic intervention programme within community, build smart partnership &  intercollabration  with other  relevant stakeholders in the district to create  healthy community / ecosystem as the ultimate aim",With Various public health speciality  in PKD thru effective leadership and  community engagement  can creates trust among community and stakeholders in creating healthy community and environment ,community responses towards healthy lifestyle is still lacking even though lots of effort or campaign had been done to create healthy behavior among them,"Enhancement of digital system,  workforce development, policy reforms, financing and research within PKD could strengthen the future role and performance ","Emerging disease, climate changes and urbanisation and lack of trust  from community are external threats that may effect PKD ","Should invest to upgrade PKD capacity  including infrastructure, digital system , financing , human capital & workforce "
27/07/2026 14:40:59,Pegawai Kesihatan Daerah,PKD Semporna,Sabah,11 yrs,27/07/2026,"Monitor and evaluate population health status, health service utilization, and health system performance.
Surveillance and monitor population health risks, threats, and determinants.
Protect populations against health threats, including emergencies, outbreaks, and environmental hazards.
Promote health and address health determinants through health promotion and disease prevention.
Prevent disease through early detection, screening, immunization, and other preventive measures.
Assure governance for health and well-being, including leadership, policy development, and regulation.
Assure an adequate and competent public health workforce, including education, training, and workforce planning.
Assure sustainable organizational structures and financing for public health services.
Advance public health research, innovation, and knowledge to improve policies and practices.","The main strengths of our PKD that enable it to deliver its public health functions effectively include:
Skilled and committed workforce – Our multidisciplinary team, comprising medical officers, public health specialists, nurses, environmental health officers, and support staff, works collaboratively to provide comprehensive public health services. For example, the team successfully coordinates outbreak investigations, immunization programmes, and maternal and child health services.
Strong disease surveillance and response system – The PKD has established surveillance mechanisms for the early detection and reporting of communicable diseases. For example, rapid response teams conduct timely investigations and implement control measures during dengue, food poisoning, or COVID-19 outbreaks.
Effective collaboration with stakeholders – The PKD works closely with hospitals, schools, local authorities, community leaders, and non-governmental organizations to implement health promotion and disease prevention activities. For example, joint dengue control campaigns and school health programmes have improved community participation.
Comprehensive primary healthcare network – Supported by health clinics and community clinics, the PKD ensures accessible preventive and promotive health services, including immunization, antenatal care, non-communicable disease screening, and health education.
Strong community engagement – Community volunteers and local leaders actively participate in public health initiatives, such as health awareness campaigns, vector control activities, and emergency response, helping to improve programme coverage and public trust.","PKD also faces several challenges that limit its effectiveness. Workforce shortages and increasing workloads often reduce the capacity to carry out preventive and outreach activities. Budget constraints may delay health promotion programmes or environmental health interventions. Rising numbers of non-communicable diseases, an ageing population, and recurring outbreaks of communicable diseases further increase service demands. In some communities, vaccine hesitancy and low participation in health screening programmes reduce the impact of preventive health initiatives. Additionally, geographical barriers in remote areas may affect timely access to healthcare services and public health interventions.","The increasing use of digital health technologies provides significant opportunities to strengthen disease surveillance, data analysis, and service delivery. Digital reporting systems, electronic medical records, mobile health applications, and data dashboards can support real-time monitoring of disease trends, improve decision-making, and enable more targeted public health interventions.
Greater inter-agency collaboration offers another important opportunity. Strengthening partnerships with local authorities, hospitals, educational institutions, non-governmental organisations (NGOs), and community leaders can improve responses to public health issues such as dengue prevention, food safety, outbreak investigations, and health promotion. Multi-sectoral collaboration also helps address the social determinants of health more effectively.
The growing emphasis on community engagement and health literacy provides an opportunity to empower communities to take a more active role in disease prevention and healthy lifestyle practices. Expanding the use of social media, digital campaigns, and community volunteers can increase public awareness, improve vaccination uptake, encourage health screening participation, and strengthen outbreak preparedness.
The adoption of data-driven public health planning can further improve resource allocation and programme effectiveness. By analysing local epidemiological data and health indicators, the PKD can identify priority populations, monitor programme performance, and implement evidence-based interventions tailored to community needs.
Finally, continued capacity building and workforce development present an opportunity to strengthen the competencies of public health personnel. Regular training in epidemiology, emergency preparedness, digital health, leadership, and quality improvement will enable staff to respond more effectively to emerging health challenges, including climate-related health risks and future pandemics.
By leveraging these opportunities, the PKD can become more proactive, resilient, and responsive, ensuring that essential public health services remain effective and sustainable while meeting the evolving health needs of the population.","Several external threats and emerging challenges may affect the PKD's ability to protect and improve population health in the coming years.
One of the most significant threats is climate change, which is expected to increase the frequency of floods, heatwaves, and extreme weather events. These conditions may contribute to higher incidences of vector-borne diseases such as dengue and malaria, waterborne diseases following floods, and heat-related illnesses. For example, prolonged heavy rainfall can create more mosquito breeding sites, leading to dengue outbreaks that require intensive vector control and surveillance activities.
The increasing burden of non-communicable diseases (NCDs), including diabetes, hypertension, obesity, and cardiovascular diseases, presents another major challenge. An ageing population and unhealthy lifestyles will increase demand for chronic disease prevention, screening, and long-term management, placing additional pressure on PKD resources and workforce capacity.
The emergence and re-emergence of infectious diseases remain an ongoing threat. Future outbreaks or pandemics similar to COVID-19, as well as diseases such as measles, influenza, mpox, or antimicrobial-resistant infections, may require rapid mobilisation of public health resources for surveillance, contact tracing, vaccination, and risk communication while maintaining routine health services.
Another challenge is vaccine hesitancy and health misinformation, particularly through social media platforms. The spread of false information can reduce vaccination coverage, increase community resistance to public health interventions, and make outbreak control more difficult. For example, declining childhood immunisation rates may increase the risk of measles outbreaks.
Population growth, urbanisation, and migration may also place additional demands on healthcare services. Rapid urban development can contribute to overcrowding, environmental health issues, and increased transmission of communicable diseases, while migrant and hard-to-reach populations may face barriers in accessing preventive health services.
Finally, resource constraints, including limited funding, shortages of trained public health personnel, and increasing operational costs, may reduce the PKD's capacity to implement preventive programmes, conduct inspections, and respond effectively to emergencies.
To address these threats, the PKD should strengthen emergency preparedness, invest in digital surveillance systems, enhance workforce capacity, promote community engagement, and foster stronger collaboration with other government agencies, local authorities, academic institutions, and community organisations. These strategies will improve resilience and ensure that the PKD remains capable of protecting population health despite future challenges.","An important issue that should be considered in the PKD transformation initiative is ensuring that the transformation is supported by adequate resources, clear governance, and effective change management. While new policies and digital innovations are important, their success depends on sufficient staffing, continuous training, reliable infrastructure, and manageable workloads. Transformation should enhance service delivery without creating additional administrative burdens for frontline healthcare workers.
Another key consideration is strengthening collaboration between the PKD, hospitals, primary care clinics, local authorities, educational institutions, and community organisations. A more integrated and coordinated health system will enable faster responses to public health emergencies, better management of chronic diseases, and more effective health promotion activities.
My expectation is that the PKD transformation initiative will create a more modern, data-driven, and people-centred public health system. The PKD should be empowered with stronger digital capabilities, improved workforce capacity, sustainable funding, and greater autonomy to respond to local public health needs. Continuous professional development and staff well-being should also be prioritised to maintain a motivated and resilient workforce.
Ultimately, I hope the transformation will strengthen the PKD's role as the frontline public health authority, capable of preventing disease, responding rapidly to emerging health threats, reducing health inequalities, and improving the overall health and well-being of the communities it serves. By investing in prevention, innovation, and community partnerships, the PKD will be better positioned to meet future public health challenges and achieve better health outcomes for all."
27/07/2026 14:43:06,District health officer,Pkd Kuala Terengganu ,Terengganu ,7,27/07/2026,"Six main functions: family health care (maternal n child, family planning, adolescent, elderly, men, primary care), disease control (CDC, ncd, acd, contact tracing, inter agency coordination), occupational health, food quality control n safety, health education n promotion, n environmental health n water quality. 

Kuala Terengganu is the capital of Terengganu, most populated and highly dense area. High risk for communicable n non communicable disease.","With limited resource and gigantic population burden, the main strength of pkd Kuala Terengganu is teamwork, leadership and community trust. Multi agency approach with good collaboration with district office, pbt and other agencies are the backbones for our strength.",Limited manpower and resources.,Innovation with digitalisation as the main focus is the opportunity that we utilize.,Threats are from the anti vaccinations groups who are influencing others to hesitate vaccines,
27/07/2026 14:51:50,District Health Officer,PKD Jempol,Negeri Sembilan,1,27/07/2026,"Doing health surveillance of any health events, non-communicable diseases, etc. in my district, majority of land usage is for agriculture - FELDA","Good cooperation between unit, interagency cooperations are good and active community and political involvement","Same person in community level, one off events",Digitalisation in PKD and clinic level services - easy dat acollection and analysis,"Quick turn over rate among staff, changing leadership among intergaency",
27/07/2026 14:52:43,Dr,PKD Seberang Perai Tengah,Penang,11,27/07/2026,Disease burden & population health,Workforce competency & knowledge,Constant change of competent workforce makes it difficult to sustain programmes,"To increase competency in digitalisation at all levels including from HQ, state, PKD and clinic ",Resource constraints and inability to adapt to changes,To focus on enforcing current programmes rather than rebranding 
27/07/2026 14:54:04,"Public Health Medicine Specialist, Division Health Officer",Miri DHO,Sarawak,9,27/07/2026,All the 9 essential public health functions outlined for Public Health Specialty are practiced in the Division through various public health programs and services,Leadership and stewardship that is well versed in the 9 essential public health functions backed with public health technical expertise. Team will work and rally together under this banner.,"Good sound technical public health knowledge and practice from the presiding Public Health Medicine Specialist at the district/division or programs (enabler factor). Half baked program development, failure to understand multi-factorial attributes to a public health outcome (limitation).","Multi-factorial and I believe everything listed as example above comes into the the picture. It varies according to particular issues, problems and public health strategies we would like to address. Importance is to recognize such opportunities and rally the public health team members (i.e PKB team) to work cohesively to translate ideas, opportunities and criticisms into action with result. ","Issue/Problems are identified and sound public health technical knowledge (9 functions) is applied to address, mitigate and resolve the matter.",Public health interventions is a teamwork approach with multi-disciplinary team members addressing a multi-factorial population parameters. We should not confuse ourselves with clinical hospital based parameters and outcomes.
